Class	ID	Text
	AJN13382	Sympathetic Activity and Blood Pressure Pattern in Autosomal Dominant Polycystic Kidney Disease Hypertensives Sympathetic Activity and Blood Pressure Pattern in Autosomal Dominant Polycystic Kidney Disease Hypertensives To study the potential role of sympathetic activity in the pathogenesis of arterial hypertension associated with autosomal dominant polycystic kidney disease (ADPKD) and to analyze its relationship with 24-hour blood pressure pattern, plasma catecholamines and 24-hour ambulatory blood pressure monitoring were evaluated in 30 ADPKD hypertensive patients (of which 17 without and 13 with renal failure) and in 50 essential hypertensives. The groups were matched for sex, body mass index, known duration of hypertension, and clinic blood pressure. Plasma catecholamines, determined in resting position, were higher in ADPKD patients without renal failure than in essential hypertensives. Nighttime diastolic blood pressure was higher and the percentage day-night difference in mean blood pressure was lower in hypertensives with ADPKD compared to patients with essential hypertension. Blood pressure was significantly correlated with plasma noradrenaline in ADPKD patients, independently of renal function. No significant differences were observed between ADPKD patients with and without renal failure, with respect to plasma catecholamines, 24-hour daytime and nighttime ambulatory blood pressures and the percentage day-night difference in mean blood pressure.
	AJN13383	Study of Effect of Optimization of Dialysis and Protein Intake on Neuromuscular Function in Patients under Maintenance Hemodialysis Treatment Study of Effect of Optimization of Dialysis and Protein Intake on Neuromuscular Function in Patients under Maintenance Hemodialysis Treatment This study was carried out on 22 patients on maintenance hemodialysis. Among them, 20 patients were males and 2 were females, their age ranged from 12 to 50 years. Initially, the patients were assessed clinically and by laboratory investigations and their dialysis was assessed by studying their urea kinetic modeling following the nomographic approach for calculating their Kt/V values. Their nutrition was assessed by measuring skin folds, midarm circumference, laboratory parameters and by calculating the normalized protein catabolic rate (nPCR). Also their neuromuscular functions were assessed by clinical examination and neurophysiologic study. Dialysis dose was readjusted to achieve a target Kt/V value of 1.3 for patients on 3 times weekly dialysis and 1.6 for patients on twice weekly dialysis. Also, their nutrition was reviewed to achieve nPCR 1.2 g/kg/day and caloric intake 30–40 kcal/kg/day through diet manipulation and support. The patients were assessed finally after 3 months on targeted dialysis and nutrition by thorough clinical, laboratory and neuromuscular assessment.Analysis of neurophysiologic data showed significant improvement in electromyography. Furthermore, fatigue test showed significant (p = 0.002) decreases in muscle fatigue after optimization of dialysis dose and patients’ nutrition.From this study, we may conclude that in dialysis patients, even when asymptomatic and clinically stable, neurologic deficits do exist and using area kinetic modeling to improve dialysis and patients’ nutrition is valuable in improving their neuromuscular functions.
	AJN13384	"Effect of Intravenous Calcitriol on Cardiac Systolic and Diastolic Function in Patients on Hemodialysis Effect of Intravenous Calcitriol on Cardiac Systolic and Diastolic Function in Patients on Hemodialysis The systolic and diastolic function of the heart of hemodialysis (HD) patients and the effect of intravenous vitamin D therapy on cardiac function was studied by Doppler and digitized M-mode echocardiography in 10 HD patients before and after 3–4.5 months of calcitriol therapy. Calcitriol was administered intravenously 1–3 times a week at a dose of 1–2 µg after the dialysis sessions. Ten age- and sex-matched healthy controls were also examined echocardiographically. Before calcitriol therapy cardiac wall thicknesses (interventricular septum, posterior wall) and left ventricle (LV) dimensions (end diastolic, end systolic) were greater, and LV diastolic (peak late diastolic velocity, peak early diastolic velocity/peak late diastolic velocity ratio, isovolumic relaxation time) and systolic (fractional shortening) function was impaired in HD patients as compared to controls. The LV posterior wall thickness was related to plasma parathyroid hormone (PTH; r = 0.70, p = 0.01) in the patients. Calcitriol therapy raised serum ionized Ca from 1.23±0.04 to 1.33 ± 0.04 mmol/l and reduced PTH from 41.1±10.7 to 34.2±11.7 pmol/l (29±11%). Calcitriol therapy did not cause any significant changes in cardiac function in the whole patient group. However, in a subgroup of 5 patients with severe but controllable hyperparathyroidism (PTH &gt;3 times upper normal margin) the LV dimensions and systolic function improved (LV end systolic dimension from 39.0 ± 4.0 to 31.3 ± 2.9 mm, p = 0.03; LV end diastolic dimension from 57.7 ± 3.1 to 53.4 ± 3.0 mm, p = 0.06; fractional shortening from 33 ± 4 to 42 ± 3%, p = 0.03). The diastolic indices improved also, but not significantly. In conclusion, left ventricle hypertrophy and systolic and diastolic dysfunction was observed in HD patients. Intravenous calcitriol therapy improved cardiac function in patients with severe secondary hyperparathyroidism."
	AJN13385	"Plasma Concentration of Brain Natriuretic Peptide as an Indicator of Cardiac Ventricular Function in Patients on Hemodialysis Plasma Concentration of Brain Natriuretic Peptide as an Indicator of Cardiac Ventricular Function in Patients on Hemodialysis The plasma concentration of human brain natriuretic peptide (BNP) was measured by immunoradiometric assay in patients on maintenance hemodialysis (HD) to assess the possible relationship between the plasma levels of this peptide and cardiac ventricular function, as judged by M-mode echocardiography. The plasma BNP levels in the pre-HD state were significantly higher (688.5 ± 154.5 pg/ml) than those of healthy subjects (&lt;40 pg/ml). In addition, the plasma BNP levels were slightly decreased during HD (post-HD, 617.3 ± 157.1 pg/ml). There was no correlation between the plasma levels of BNP and body weight changes during HD. The mean plasma BNP level was significantly higher in the group of patients with a low left ventricular ejection fraction (EF &lt; 60%) than in the group with a normal EF. In the patients as a whole, there was an inverse correlation between plasma BNP levels and EF. Moreover, a positive correlation was found between plasma BNP levels and left ventricular mass index (r = 0.57, p &lt; 0.05). These results suggest that plasma BNP levels increase in response to chronic stimulation in accordance with increased cardiac load, and that they may be a possible indicator of reduced ventricular function in HD patients."
	AJN13386	"Effect of L-Carnitine Supplementation on Lipid Parameters in Hemodialysis Patients Effect of L-Carnitine Supplementation on Lipid Parameters in Hemodialysis Patients It has been reported that cumulative carnitine losses through dialysis membranes may worsen hyperlipidemia during long-term hemodialysis. However, carnitine supplementation has not shown a consistent beneficial response. We undertook the present study to determine if there is any hypolipidemic effect of L-carnitine on Greek dialysis patients in concert with the dialysate buffer composition (acetate or bicarbonate). A total of 28 patients (16 male, 12 female), mean age 43 years (range 21–61), with end-stage renal disease on maintenance hemodialysis for a mean period of 25 months (range 7–84) were studied. The dialysis schedule was 4 h, 3 times/week using cuprophane hollow-fiber dialyzers and acetate (n = 14) or bicarbonate (n = 14) dialysate. In all patients L-carnitine (5 mg/kg body weight) was infused intravenously 3 times/week at the end of each hemodialysis session. Blood samples for carnitine and lipid determinations were obtained before treatment, and 3 and 6 months following treatment. Even though L-carnitine did not modify most of the serum lipid levels, a significant decrease in serum triglycerides was evident in the whole group of patients (from 225 ± 76 to 201 ± 75 mg/dl, p = 0.03). Furthermore, L-carnitine could decrease serum triglycerides only in hypertriglyceridemic patients (from 260 ± 64 to 226 ± 82 mg/dl, p &lt; 0.05). L-Carnitine resulted in a reduction of serum triglycerides in both patients on bicarbonate and on acetate dialysis, while there were no significant differences in the changes of lipid parameters after L-carnitine between the two groups of hemodialysis patients. We conclude that relatively low doses of L-carnitine supplementation could contribute to the management of some hypertriglyceridemic hemodialysis patients."
	AJN13390	"Urea Reduction Ratio and Urea Kinetic Modeling: A Mathematical Analysis of Changing Dialysis Parameters Urea Reduction Ratio and Urea Kinetic Modeling: A Mathematical Analysis of Changing Dialysis Parameters Based mainly on the simplicity of its calculation, the urea reduction ratio (URR) has been suggested as an alternative to urea kinetic modeling (Kt/V) as a measure of hemodialysis adequacy. However, recent studies have raised questions concerning the accuracy of URR, particularly in the presence of residual kidney function (KrU). This study was initiated to evaluate the relationship between URR and Kt/V under a variety of dialysis conditions. Equations based on the variable-volume, single-pool model described by Gotch were used to construct a model incorporating the variables used in the estimation of URR and Kt/V. The model’s prediction of URR correlated closely with measured URR in 30 patients (r = 0.9987, p &lt; 0.000001). This analytic approach showed that changes in each of several dialysis parameters caused divergence in the values of URR and Kt/V. The model showed that URR could be less than 0.65, while total Kt/V was greater than 1.2, whether or not KrU was present. In fact, when KrU was greater than 1.0, URR could be less than 0.65, while Kt/V might be 2.0 or higher. On the other hand, the model showed instances where URR could be greater than 0.65, when Kt/V was less than 1.2. This occurred only when KrU was less than 1.0. To determine the prevalence of these anomalies in clinical practice, 767 kinetic modeling determinations were evaluated in 207 patients. One of the above discrepancies was observed at least once in 30.9% of the patients, representing 12.1% of all determinations. In addition, it was found that omitting KrU from the calculation of Kt/V generally leads to a Kt/V &lt;1.2. This, when associated with a URR &lt;0.65, could erroneously imply inadequate dialysis. The patient data are consistent with the view that URR and Kt/V are the net result of several variables that may act together or even in opposing directions. Based on this mathematical model and the observed clinical data, the use of URR alone to assess dialysis adequacy, or neglecting the contribution of KrU to Kt/V, may lead to changes in the dialysis prescription that are neither correct nor necessary."
	AJN13391	"Role of the Calices in Urine Flow with Characterization of a Caliceopelvic Sphincter and Reflex Role of the Calices in Urine Flow with Characterization of a Caliceopelvic Sphincter and Reflex Aim: To study the role of the caliceal system in urine flow. Methods: Eight patients (6 men, 2 women; mean age 42.6 ± 7.6 years) with an upper polar renal mass (6 renal cysts; 2 hypernephromas) which did not encroach on the pelvicaliceal system were studied. After mass removal, a manometric catheter was introduced into one of the intact calices. Another catheter was introduced through the same calix, and the calix was filled with saline in increments of 0.1 ml, and the caliceal, caliceopelvic junction (CPJ), and renal pelvis pressures were recorded. The catheter was moved to the renal pelvis, and the pressure response of the aforementioned sites to renal pelvic filling with saline in increments of 1 ml was registered. The effect of filling of the locally anesthetized calix on the pelvicaliceal pressure was also determined. Results: Caliceal filling resulted in a rise of the caliceal (p &lt; 0.01) and a drop of the CPJ (p &lt; 0.01) pressures with no pressure response in the renal pelvis. Renal pelvic filling produced a rise of renal pelvic (p &lt; 0.01) and CPJ (p &lt; 0.05) pressures; the caliceal pressure showed no change (p &gt; 0.05). Filling of the anesthetized calix or renal pelvis produced no significant pressure changes in calix, CPJ, or renal pelvis (p &gt; 0.05). Conclusions: The CPJ dilatation upon caliceal contraction suggests a reflex relationship which we named ‘caliceopelvic inhibitory reflex’. The reflex is suggested to effect caliceal evacuation. On the other hand, CPJ closure upon renal pelvic contraction postulates another reflex relationship which we designated ‘pelvicaliceal excitatory reflex’. This reflex seems to prevent pelvicaliceal reflux. It is suggested that a ‘functional’ sphincter exists at the CPJ."
	AJN13392	"A Cluster of Bloodstream Infections and Pyrogenic Reactions among Hemodialysis Patients Traced to Dialysis Machine Waste-Handling Option Units A Cluster of Bloodstream Infections and Pyrogenic Reactions among Hemodialysis Patients Traced to Dialysis Machine Waste-Handling Option Units From June 17 through November 15, 1995, ten episodes of Enterobacter cloacae bloodstream infection and three pyrogenic reactions occurred in patients at a hospital-based hemodialysis center. In a case-control study limited to events occurring during October 1–31, 1995, seven dialysis sessions resulting in E. cloacae bacteremia or pyrogenic reaction without bacteremia were compared with 241 randomly selected control sessions. Dialysis machines were examined, dialysis fluid and equipment were cultured, and E. cloacae isolates were genotyped by pulsed-field gel electrophoresis. Each dialysis machine had a waste-handling option (WHO) through which dialyzer-priming fluid was discarded before each dialysis session; in 7 of 11 machines, one-way check valves designed to prevent backflow from the WHO into patient bloodlines were dysfunctional. In the case-control study, case sessions were more frequent when machines with ≥1 dysfunctional check valves were used. E. cloacae with identical pulsed-field gel electrophoresis patterns were isolated from case patients, dialysis fluid, station drains, and WHO units. Our investigation shows that bloodstream infections and pyrogenic reactions were caused by backflow from contaminated dialysis machine WHO units into patient bloodlines. The outbreak was terminated when WHO use was discontinued, check valves were replaced, and dialysis machine disinfection was enhanced."
	AJN13393	Prevalence of Hepatitis C Virus Antibodies in Primary Glomerulonephritis in Brazil Prevalence of Hepatitis C Virus Antibodies in Primary Glomerulonephritis in Brazil The association between hepatitis B virus and membranous glomerulonephritis and membranoproliferative glomerulonephritis (MPGN) was first described in 1971. Recently, a similar association between hepatitis C virus (HCV) and glomerulonephritis (GN) has been reported. We investigated the prevalence of hepatitis C serum antibodies (anti-HCV) in patients with primary GN followed up at our Nephrology Outpatient Clinic between March 1993 and November 1995. The diagnosis of primary GN was established after excluding the presence of connective tissue disease, diabetes, infectious disease, and malignancy. Anti-HCV antibodies were detected by a second-generation enzyme immunosorbent assay and HCV RNA by polymerase chain reaction. Of 81 patients with primary GN, 24 had membranous glomerulonephritis, 17 MPGN, 15 minimal-change disease, 12 focal-segmental glomerulosclerosis, 9 diffuse proliferative GN, and 4 IgA nephropathy. Anti-HCV were detected in 2 cases (2.5%), both were HCV RNA positive and had a polyclonal mixed cryoglobulinemia (IgM-IgG). These 2 cases both came from the group of 17 patients with MPGN. Biochemical investigation in these patients revealed persistent elevation of serum aminotransferase activity, and a liver biopsy specimen in 1 of them showed evidence of chronic active hepatitis. We conclude that in our setting the prevalence of anti-HCV among patients with primary GN is low, being higher (11.8%) only if we consider the patients with MPGN as the reference group. Further studies are necessary to clarify this association and to determine appropriate therapy for these patients.
	AJN13394	Effect of Angiotensin-Converting Enzyme Inhibitors on Response to Erythropoietin Therapy in Chronic Dialysis Patients Effect of Angiotensin-Converting Enzyme Inhibitors on Response to Erythropoietin Therapy in Chronic Dialysis Patients Background: Erythropoietin (EPO) therapy is a common and effective treatment for the correction of anemia in patients with end-stage renal disease. Simultaneous treatment with angiotensin-converting enzyme (ACE) inhibitors for the control of hypertension and/or heart failure is often necessary. Recent reports in the literature have raised concern about a potential interaction between these drugs, with a resultant decreased EPO efficacy. Methods: To investigate whether this interaction occurs in chronic dialysis patients, we retrospectively reviewed the records of 175 patients receiving chronic dialysis. All study patients were treated with EPO for at least 3 months, and had normal iron indices. Patients were treated with ACE inhibitors for at least 3 months, at a constant daily dose for at least 1 month (group 1, n = 32), or did not receive ACE inhibitors (group 2, n = 143). Patients with infections or overt iron deficiency were excluded. Total weekly EPO doses and hematocrit (Hct)/hemoglobin (Hgb) values in the two groups were compared. Variables known to affect response to EPO were compared, including ferritin, transferrin saturation, dialysis dose and serum aluminum. Results: Total weekly EPO dose was 17,358 ± 6,871 units in group 1 and 17,612 ± 7,744 units in group 2 (p = 0.854). The achieved Hct was 32.1 ± 4.4% (group 1) and 30.5 ± 4.0% (group 2) (p = 0.079). Similarly, Hgb, ferritin, transferrin saturation, Kt/V, and serum aluminum were not different. The dose or duration of ACE inhibitor therapy did not affect Hgb or Hct. Thus, ACE inhibitor therapy does not appear to affect response to EPO in chronic dialysis patients.
