Class	ID	Text
research-article	ACY371752	Review of the Bethesda System for Reporting Thyroid Cytopathology: A Local Study in Bohol Island, Philippines Review of the Bethesda System for Reporting Thyroid Cytopathology: A Local Study in Bohol Island, Philippines Objectives: The aim of this study was to evaluate the adaptability and reproducibility of the Bethesda System for Reporting Thyroid Cytopathology (BSRTC) in a local setting and to determine the risk of malignancy for each category. Materials and Methods: A retrospective cross-sectional study of 80 thyroid fine-needle aspiration cytology cases using the BSRTC with corresponding histopathology was done between September 2009 and December 2012. Agreement scores were calculated using kappa statistics. Results: Consensus among two readers was attained for 73 cases (91.25%). No disagreement was noted for the malignant cases. The strength of agreement was very good, with a kappa statistic of 0.90. The risk of malignancy observed histologically was as follows: benign 3%, atypia of undetermined significance (AUS) 50%, suspicious for follicular/Hürthle cell neoplasm 50%, suspicious for malignancy 78%, and malignant 100%. Conclusion: In this study, there is an outstanding reproducibility for the classification scheme. The application of the BSRTC as the standardized reporting is readily adaptable and therefore its application in larger medical centers is highly recommended. Our findings of a higher risk of malignancy seen in AUS (50%) and malignant (100%) categories in those who underwent surgical resection corroborated other published studies. Conveying this risk to clinical colleagues is important and will facilitate optimal patient care.
case-report	ACY448836	Carcinoma Showing Thymus-Like Differentiation (CASTLE): Cytopathological Features and Differential Diagnosis Carcinoma Showing Thymus-Like Differentiation (CASTLE): Cytopathological Features and Differential Diagnosis Background: CASTLE (carcinoma showing thymus-like differentiation) is a rare tumor (accounting for less than 0.15% of thyroid neoplasms) with most of the reported cases from Asia. Although this tumor is rare, distinguishing it from more aggressive neoplasms is critical because of its improved prognosis. To date, there have been limited studies on its cytomorphological features. Herein, we review the cytomorphological features of 10 fine-needle aspiration (FNA) cases of histologically confirmed CASTLE and discuss the findings in light of the current literature. Methods: We retrospectively (1989-2016) identified 10 cases of CASTLE from 17,415 surgical cases of thyroid carcinoma from The Johns Hopkins Hospital and Fudan University Shanghai Cancer Center. The cases were reviewed for discrete cytomorphological characteristics. Results: All of the cases displayed predominantly single (dishesive) epithelial cell populations, high nuclear/cytoplasmic ratios, hyperchromatic to open/vesicular nuclei and macronucleoli. The majority of cases additionally showed hypercellular, three-dimensional fragments in a background of lymphocytes. The fragments displayed syncytial architecture without molding and rarely squamous differentiation. All cases lacked follicular differentiation, intranuclear inclusions, nuclear molding, or neuroendocrine-type chromatin. Conclusions: Cytopathological features alone do not appear to be distinctive or definitive of CASTLE but rather allow for the inclusion of CASTLE within the differential diagnosis. Procurement of cell block material is important and resulted in the single case of CASTLE accurately diagnosed on FNA. Cytopathological features that favored CASTLE included syncytial fragments of malignant cells with pleomorphic large nuclei, vesicular chromatin, and prominent nucleoli in a background of lymphocytes. These cytopathological findings in the appropriate clinicoradiological context warrant its inclusion in the reported differential diagnosis in order to be able to implement appropriate clinical management.
case-report	ACY449460	Cytomorphology and Histology Correlation of Rosai-Dorfman Disease: A 15-Year Study from a Tertiary Referral Centre in South India Cytomorphology and Histology Correlation of Rosai-Dorfman Disease: A 15-Year Study from a Tertiary Referral Centre in South India Objectives: Rosai-Dorfman disease (RDD) is an uncommon, benign histiocytic disorder of unknown etiology, typically presenting in young adulthood. We highlight the cytomorphology of RDD and correlate it with the histopathology. Study Design: All cases diagnosed as RDD on fine-needle aspiration cytology between January 2001 and June 2015 were included. Clinical details were obtained from medical records. The cytology smears were reviewed along with the histopathology and immunohistochemistry, wherever available. Results: The study included 10 cases ranging in age from 11 to 68 years (median 29). There was a male predominance with a male:female ratio of 1.5:1. The patients commonly presented with bilateral cervical lymphadenopathy. Extranodal involvement was seen in 2 cases in the nose and mandible, respectively. Of these 10 cases, 8 were later biopsied. The cytological features included numerous crescentic histiocytes, emperipolesis, reactive lymphocytes and plasma cells. A histological diagnosis of RDD was made in 7 out of 8 cases, and 1 was diagnosed as Hodgkin lymphoma. Conclusion: FNA represents an efficient, minimally invasive, cost-effective and reliable technique for the diagnosis of RDD and may obviate the need for further biopsy. However, the disease has close differential diagnoses, including Langerhans cell histiocytosis, granulomatous lesions, and Hodgkin lymphoma. Hence, it must be remembered that there can be pitfalls when the diagnosis is made by cytology alone.
meta-analysis	ACY469654	Impact of the Reclassification of the Non-Invasive Follicular Variant of Papillary Carcinoma as Benign on the Malignancy Risk of the Bethesda System for Reporting Thyroid Cytopathology: A Meta-Analysis Study Impact of the Reclassification of the Non-Invasive Follicular Variant of Papillary Carcinoma as Benign on the Malignancy Risk of the Bethesda System for Reporting Thyroid Cytopathology: A Meta-Analysis Study Objectives: The Bethesda System for Reporting Thyroid Cytopathology (TBSRTC) established diagnostic categories for cytologic specimens of the thyroid. Each category was associated with an estimated risk of malignancy. Recently, the non-invasive follicular variant of papillary thyroid carcinoma has been reclassified as benign. This reclassification may alter the malignancy risk of TBSRTC diagnostic categories. Study Design: A literature search was made for all studies investigating the effect of reclassification of some non-invasive follicular variant papillary thyroid carcinomas as benign on the malignancy risk associated with TBSRTC categories. The authors calculated the malignancy risk for TBSRTC categories in a series of 315 thyroid aspirates when the non-invasive follicular variant of papillary thyroid carcinoma was considered benign. A meta-analysis of malignancy risk data for the 3 published studies and the current study was performed. Results: The meta-analysis showed that the malignancy risk was reduced for all TBSRTC categories except the “non-diagnostic” category. The reduction in malignancy risk was greatest in the categories “suspicious for malignancy” and “atypia/follicular lesion of undetermined significance.” Conclusion: A meta-analysis of all pertinent studies demonstrated that re-categorization of the non-invasive follicular variant of papillary thyroid carcinoma as benign reduces the malignancy risk in the majority of TBSRTC categories.
review-article	ACY479307	Clinical Utility of Endometrial Cell Block Cytology in Postmenopausal Women Clinical Utility of Endometrial Cell Block Cytology in Postmenopausal Women Objective: To investigate the diagnostic utility of endometrial (EM) cell block (CB) cytology for the detection of intrauterine malignancy in postmenopausal women. Methods: We reviewed the medical records of 104 postmenopausal women between January 2012 and November 2014. We reviewed symptoms upon admission, body mass index, parity, transvaginal ultrasonographic findings, and histopathological results based on CB and conventional cytology. Results: The mean age was 62.6 (range 48-95) years. The mean menopausal age was 50.8 years and the mean duration of menopause was 12.0 years. The sensitivity of CB and conventional cytology was 82.3% (29/35) and 85.7% (30/35) and the specificity was 98.6% (68/69) and 94.2% (65/69), respectively. The sensitivity and specificity of CB cytology combined with conventional cytology were 82.3% (29/35) and 94.2% (65/69), respectively. The predictive values for EM hyperplasia and type-II carcinoma were 100 and 85.7%, respectively. Conclusion: CB cytology provides specimens for examination in a single outpatient session. Additionally, immunohistochemical staining can provide useful information for histological diagnosis. A combination of CB and conventional cytology can improve the diagnostic accuracy of EM lesions and may be a valid method for screening in postmenopausal women.
case-report	ACY493000	"Glandular Cell Abnormalities on SurePath Preparations: A Retrospective Review with Cytology-Histology Correlations Glandular Cell Abnormalities on SurePath Preparations: A Retrospective Review with Cytology-Histology Correlations Objective: Detecting glandular lesions is challenging by all Pap test methodologies. As the availability of data on identifying glandular abnormalities by SurePath is scarce, we investigated the detection rates and the correlation with histology follow-up. Study Design: A total of 105,927 cases (SurePath and conventional) were searched for the diagnosis of atypical glandular cells or higher glandular abnormalities (AGC+) with the corresponding histologic diagnosis. The associations between the Pap test methods and diagnostic categories were assessed by χ2 test. Results: Overall, 0.32% of SurePath (159/49,375) and 0.29% of conventional (164/56,552) cases showed AGC+ (p = 0.38). Histology confirmed significant abnormalities in 42 versus 53.5% of the cases, respectively (p = 0.064); 72.7% (SurePath) versus 65.2% (conventional) of these were glandular in nature (p = 0.37). The diagnosis of neoplasia (favored or definitive) showed malignancy on follow-up in 100% of SurePath cases (12/12). In contrast, 82.1% of these conventional cases disclosed premalignant or malignant lesions by histology (p = 0.12). Conclusions: AGC+ cases showed higher prevalence on SurePath preparations. Conventional cases had more abnormalities on follow-up, while glandular lesions represented a higher proportion of abnormal histologies following SurePath AGC+s. The positive predictive value of favored or definite neoplasia was higher in SurePath cases. Overall, these differences were not statistically significant."
case-report	ACY493081	Cytopathology of Solid Variant of Papillary Thyroid Carcinoma: Differential Diagnoses with other Thyroid Tumors Cytopathology of Solid Variant of Papillary Thyroid Carcinoma: Differential Diagnoses with other Thyroid Tumors Objectives: Solid variant of papillary thyroid carcinoma (SVPTC) is rare, differing from classical PTC (cPTC) in architecture and outcome. We evaluated the cytomorphology of SVPTC cases to assess the feasibility of a preoperative diagnosis. Study Design: SVPTC cases were evaluated for architecture, nuclear features, and Bethesda category and were compared with noninvasive follicular thyroid neoplasm with papillary-like nuclear features/follicular variant of PTC (NIFTP/FVPTC), cPTC, and poorly differentiated thyroid carcinoma (PDTC). Results: Nine SVPTCs, 29 NIFTP/FVPTCs, 12 cPTCs, and 4 PDTCs were included. The predominant architecture in most SVPTCs was solid fragment, which is helpful in differentiating them from NIFTP/FVPTC (p &
case-report	ACY493335	Cytologic Features of SMARCA4-Deficient Thoracic Sarcoma: A Case Report and Comparison with Other SWI/SNF Complex-Deficient Tumors Cytologic Features of SMARCA4-Deficient Thoracic Sarcoma: A Case Report and Comparison with Other SWI/SNF Complex-Deficient Tumors Background: SMARCA4-deficient thoracic sarcoma is a recently proposed entity of soft tissue tumors associated with an extremely poor prognosis. Its cytologic features have not been well described in the literature yet. Case: A woman in her early 30s who presented with chest pain was found to have a tumor in the right chest wall. Cytologic smears revealed numerous atypical round-to-polygonal cells appearing singly or in loosely cohesive clusters. These cells had a well-defined cell border, scant-to-moderate cytoplasm, and enlarged vesicular nuclei with prominent nucleoli. In addition, some cells with eosinophilic globular intracytoplasmic inclusions and eccentrically located nuclei, consistent with rhabdoid cells, were observed. Immunocytochemically, the cells were at least focally positive for cytokeratin CAM5.2 and CD34 and showed a significantly reduced BRG1/SMARCA4 expression. The diagnosis was confirmed by histological, immunohistochemical, and genetic analysis of a metastatic lesion to the left axillary lymph node. Conclusion: Although the cytologic features of SMARCA4-deficient thoracic sarcoma are not fully unique, they are sufficiently characteristic to suspect this tumor in cases of supporting clinical and radiological features, which may promote additional immunological or molecular testing to establish a definitive diagnosis.
case-report	ACY493336	The Differential Diagnosis in Nonlymphoproliferative Malignant Pleural Effusion Cytopathology and Its Correlation with Patients’ Demographics The Differential Diagnosis in Nonlymphoproliferative Malignant Pleural Effusion Cytopathology and Its Correlation with Patients’ Demographics Background: We report our experience with malignant pleural effusion (MPE) and the impact of patients’ demographics on the differential diagnosis at the primary site. Methods: After IRB approval, we searched our pathology database from January 2013 to January 2017 for patients with positive pleural effusions (PEs). Patients’ demographics and clinical histories were noted. Results: 474 patients were identified (288 females [61%] and 186 males [39%]), ranging in age from 19 to 64 years old. Ethnicity was distributed as follows: Caucasian (n = 330, 70%), African American (n = 114, 24%) and Asian (n = 30, 6%). The most common primary sites were the lung (n = 180, 37%), followed by the breast (n = 81, 17%), and the gynecologic system (67, 13%). The lung was the most common primary for all ethnicities (n = 190, 40%). The second-most common primary site was the breast in African Americans and Caucasians and upper gastrointestinal (GI) tract in Asians. In 5 cases (1%), the primary tumor could not be determined. Conclusion: Cytology examination is a useful method to diagnose primary sites of PE. Pulmonary primary is the most common cause of effusion in all ethnicities. In African American and Caucasian patients, the breast was the second-most common site of MPE, while in Asian patients it was the upper GI tract.
case-report	AHA323565	Cyclosporine A for Chemotherapy-Resistant Subcutaneous Panniculitis-Like T Cell Lymphoma with Hemophagocytic Syndrome Cyclosporine A for Chemotherapy-Resistant Subcutaneous Panniculitis-Like T Cell Lymphoma with Hemophagocytic Syndrome Subcutaneous panniculitis-like T cell lymphoma (SPTL) is a rare subtype of non-Hodgkin lymphoma for which a definitive therapeutic strategy has not been established yet. We report a case of chemotherapy-resistant SPTL with hemophagocytic syndrome (HPS) which was successfully treated with cyclosporine A (CsA) plus methylprednisolone (mPSL), and also reviewed 11 SPTL cases treated with CsA, previously reported in the literature. Our patient was a 38-year-old female with SPTL. The disease progressed despite conventional chemotherapy using cytotoxic agents including alkylators, anthracyclins or purine analogues, and, after 2 months of chemotherapy, was eventually complicated by HPS and disseminated intravascular coagulation (DIC). CsA (4 mg/kg/day) plus mPSL treatment dramatically improved HPS with DIC, reduced subcutaneous tumors within 2 weeks, and finally induced complete remission (CR) after 3 months. Currently, the patient has maintained CR while being treated with CsA for 12 months. In addition to our case, 9 of 11 SPTL cases were successfully treated with CsA, and 8 were induced to CR. Time to first response to CsA was within 2 weeks in most cases, regardless of prior treatment or the co-occurrence of HPS. Our case and this first comprehensive review on CsA for SPTL suggest that CsA may constitute a candidate treatment strategy for SPTL.
